1:	1
2:	1
3:	1
4:	1
184, 185, 450, 227, 5:	-111.97426106279579, -295168.7902213829, -172886.91732669598, -221250.69569593572, 689418.3775050774
186, 187, 204, 6, 455:	-331572.7981081157, -48.34938896873686, -477560.7069667202, 809218.3985521129, -36.54408830824192
440, 341, 7, 456, 205, 190, 351:	-513734.7050257416, -854064.0351306389, 2260834.7586964555, -57.87148503593, -371559.86563076644, -90699.51036873131, -430718.7710555415
352, 195, 315, 8, 457, 347, 190:	-301592.7787162459, -200181.06028875787, -234.52434110900924, 661692.0803268589, -103.85114443910106, -203.27085432806462, -159376.594981979
467, 254, 265, 9, 206, 191:	-739211.6817874333, -573961.4982059817, -60398.26078671919, 2399068.840620296, -552530.6976575736, -472966.7021825882
192, 197, 406, 422, 540, 10, 300, 559:	-368005.2303855317, -175600.2561856557, -166501.18906015207, -89.58043539043865, -86.55326704927425, 710457.9204360564, -93.2134847231795, -81.89761755420253
275, 193, 11, 244, 534:	-694190.2420470486, -230569.41884447454, 2598528.04718955, -331746.2064128639, -1342022.179885163
198, 194, 355, 550, 518, 312, 490, 12:	-317974.4396193833, -126718.80594596294, -87.35154461780594, -102.82830897853017, -261143.89679413236, -73.82390620478638, -96.1922223356577, 706197.3383416154
263, 201, 410, 203, 13, 479:	-149.63553612294288, -412970.67209223163, -129.57058277085713, -383460.46765796613, 796865.3097293177, -154.9638602260178
210, 261, 585, 202, 578, 14, 565:	-185061.15823645852, -12.428113936297983, -313534.80275491154, -173415.42348725774, -816503.3267701732, 2247036.9133399474, -758509.7739772102
216, 210, 579, 215, 15:	-123.08645411369413, -255777.99934678047, -54138.622341076756, -469231.41339545336, 779271.1215374242
16, 238, 212, 213, 574:	681177.1355267453, -130184.33283053603, -113.77208078929291, -277000.98964194773, -273878.0409734722
400, 17, 485, 328, 236, 235, 220, 431:	-154705.78458157842, 1459358.2613852366, -150791.4986311724, -99.38924327142618, -159868.31665175024, -138051.71254421154, -855694.5194452847, -147.04028796782154
18, 499, 486, 535, 247, 221:	2942514.452333849, -504325.30405500653, -405651.451319272, -680840.4423213929, -550831.8581904172, -800865.3964477605
226, 19, 468, 325, 441, 461, 222:	-817845.2488871226, 3022832.259101029, -58008.694061013724, -342304.3747360016, -577943.900872977, -405125.97215565824, -821604.0683882558
225, 20, 229, 230, 394, 332, 474, 462:	-809334.784689825, 1437312.5529182344, -160957.01909949965, -128493.68445243448, -168067.46788553102, -165.27679119727247, -81.41883224566834, -170212.90116750114
